date,state,positive,death,hospitalizedCurrently,positiveIncrease,deathIncrease,totalTestResults,hospitalizedIncrease,inIcuCurrently,onVentilatorCurrently
2020-03-06,AK,0.0,0.0,0.0,0,0,8.0,0,0.0,0.0
2020-03-07,AK,0.0,0.0,0.0,0,0,12.0,0,0.0,0.0
2020-03-08,AK,0.0,0.0,0.0,0,0,14.0,0,0.0,0.0
2020-03-09,AK,0.0,0.0,0.0,0,0,23.0,1,0.0,0.0
2020-03-10,AK,0.0,0.0,0.0,0,0,23.0,0,0.0,0.0
2020-03-11,AK,0.0,0.0,0.0,0,0,46.0,0,0.0,0.0
2020-03-12,AK,0.0,0.0,0.0,0,0,46.0,0,0.0,0.0
2020-03-13,AK,0.0,0.0,0.0,0,0,60.0,0,0.0,0.0
2020-03-14,AK,0.0,0.0,0.0,0,0,144.0,0,0.0,0.0
2020-03-15,AK,0.0,0.0,0.0,0,0,144.0,0,0.0,0.0
2020-03-16,AK,0.0,0.0,0.0,0,0,144.0,0,0.0,0.0
2020-03-17,AK,3.0,0.0,0.0,3,0,337.0,0,0.0,0.0
2020-03-18,AK,8.0,0.0,0.0,5,0,412.0,0,0.0,0.0
2020-03-19,AK,11.0,0.0,0.0,3,0,438.0,0,0.0,0.0
2020-03-20,AK,14.0,0.0,0.0,3,0,698.0,0,0.0,0.0
2020-03-21,AK,15.0,0.0,0.0,1,0,772.0,0,0.0,0.0
2020-03-22,AK,25.0,0.0,0.0,10,0,968.0,0,0.0,0.0
2020-03-23,AK,38.0,0.0,0.0,13,0,968.0,0,0.0,0.0
2020-03-24,AK,42.0,0.0,0.0,4,0,1022.0,1,0.0,0.0
2020-03-25,AK,49.0,1.0,0.0,7,1,1691.0,1,0.0,0.0
2020-03-26,AK,63.0,1.0,0.0,14,0,1860.0,1,0.0,0.0
2020-03-27,AK,74.0,1.0,0.0,11,0,2388.0,2,0.0,0.0
2020-03-28,AK,91.0,2.0,0.0,17,1,2921.0,4,0.0,0.0
2020-03-29,AK,110.0,2.0,0.0,19,0,3334.0,0,0.0,0.0
2020-03-30,AK,118.0,3.0,0.0,8,1,3654.0,0,0.0,0.0
2020-03-31,AK,128.0,3.0,0.0,10,0,3713.0,2,0.0,0.0
2020-04-01,AK,141.0,3.0,0.0,13,0,4603.0,3,0.0,0.0
2020-04-02,AK,149.0,3.0,0.0,8,0,5022.0,1,0.0,0.0
2020-04-03,AK,160.0,3.0,0.0,11,0,6016.0,1,0.0,0.0
2020-04-04,AK,171.0,5.0,0.0,11,2,6040.0,0,0.0,0.0
2020-04-05,AK,185.0,6.0,0.0,14,1,6284.0,4,0.0,0.0
2020-04-06,AK,191.0,6.0,0.0,6,0,6883.0,4,0.0,0.0
2020-04-07,AK,213.0,6.0,0.0,22,0,6913.0,1,0.0,0.0
2020-04-08,AK,226.0,7.0,0.0,13,1,7068.0,2,0.0,0.0
2020-04-09,AK,235.0,7.0,0.0,9,0,7223.0,2,0.0,0.0
2020-04-10,AK,246.0,7.0,0.0,11,0,7432.0,0,0.0,0.0
2020-04-11,AK,257.0,8.0,0.0,11,1,7732.0,2,0.0,0.0
2020-04-12,AK,272.0,8.0,0.0,15,0,8038.0,1,0.0,0.0
2020-04-13,AK,277.0,8.0,0.0,5,0,7830.0,0,0.0,0.0
2020-04-14,AK,285.0,9.0,0.0,8,1,8348.0,0,0.0,0.0
2020-04-15,AK,293.0,9.0,0.0,8,0,8664.0,0,0.0,0.0
2020-04-16,AK,300.0,9.0,0.0,7,0,8735.0,3,0.0,0.0
2020-04-17,AK,309.0,9.0,0.0,9,0,9450.0,1,0.0,0.0
2020-04-18,AK,314.0,9.0,39.0,5,0,9655.0,0,0.0,0.0
2020-04-19,AK,319.0,9.0,37.0,5,0,9895.0,0,0.0,0.0
2020-04-20,AK,321.0,9.0,46.0,2,0,10124.0,0,0.0,0.0
2020-04-21,AK,329.0,9.0,42.0,8,0,11119.0,0,0.0,0.0
2020-04-22,AK,335.0,9.0,39.0,6,0,12159.0,0,0.0,0.0
2020-04-23,AK,337.0,9.0,42.0,2,0,12161.0,0,0.0,0.0
2020-04-24,AK,339.0,9.0,36.0,2,0,12281.0,0,0.0,0.0
2020-04-25,AK,339.0,9.0,32.0,0,0,15732.0,0,0.0,0.0
2020-04-26,AK,341.0,9.0,14.0,2,0,16177.0,0,0.0,0.0
2020-04-27,AK,345.0,9.0,10.0,4,0,16256.0,0,0.0,0.0
2020-04-28,AK,351.0,9.0,16.0,6,0,17089.0,1,0.0,0.0
2020-04-29,AK,355.0,9.0,14.0,4,0,19119.0,0,0.0,0.0
2020-04-30,AK,355.0,9.0,19.0,0,0,19119.0,0,0.0,0.0
2020-05-01,AK,364.0,9.0,25.0,9,0,20325.0,1,0.0,0.0
2020-05-02,AK,365.0,9.0,10.0,1,0,21399.0,0,0.0,0.0
2020-05-03,AK,368.0,9.0,12.0,3,0,21578.0,0,0.0,0.0
2020-05-04,AK,370.0,9.0,12.0,2,0,21723.0,0,0.0,0.0
2020-05-05,AK,371.0,9.0,13.0,1,0,22692.0,1,0.0,0.0
2020-05-06,AK,372.0,10.0,8.0,1,1,23655.0,1,0.0,0.0
2020-05-07,AK,374.0,10.0,12.0,2,0,24341.0,0,0.0,0.0
2020-05-08,AK,377.0,10.0,16.0,3,0,25473.0,0,0.0,0.0
2020-05-09,AK,378.0,10.0,8.0,1,0,26449.0,0,0.0,0.0
2020-05-10,AK,379.0,10.0,8.0,1,0,27364.0,0,0.0,0.0
2020-05-11,AK,381.0,10.0,7.0,2,0,28680.0,0,0.0,0.0
2020-05-12,AK,383.0,10.0,10.0,2,0,29961.0,0,0.0,0.0
2020-05-13,AK,384.0,10.0,12.0,1,0,30649.0,0,0.0,0.0
2020-05-14,AK,389.0,10.0,12.0,5,0,31762.0,1,0.0,0.0
2020-05-15,AK,390.0,10.0,8.0,1,0,32418.0,1,0.0,0.0
2020-05-16,AK,394.0,10.0,10.0,4,0,33281.0,2,0.0,0.0
2020-05-17,AK,398.0,10.0,13.0,4,0,34651.0,1,0.0,0.0
2020-05-18,AK,401.0,10.0,9.0,3,0,35611.0,0,0.0,0.0
2020-05-19,AK,401.0,10.0,16.0,0,0,36380.0,0,0.0,0.0
2020-05-20,AK,404.0,10.0,16.0,3,0,37045.0,0,0.0,0.0
2020-05-21,AK,404.0,10.0,19.0,0,0,39545.0,1,0.0,0.0
2020-05-22,AK,406.0,10.0,15.0,2,0,41446.0,2,0.0,0.0
2020-05-23,AK,410.0,10.0,10.0,4,0,42351.0,0,0.0,0.0
2020-05-24,AK,410.0,10.0,10.0,0,0,43507.0,0,0.0,0.0
2020-05-25,AK,411.0,10.0,10.0,1,0,44472.0,0,0.0,0.0
2020-05-26,AK,413.0,10.0,12.0,2,0,44964.0,0,0.0,0.0
2020-05-27,AK,414.0,10.0,14.0,1,0,46363.0,0,0.0,0.0
2020-05-28,AK,427.0,10.0,10.0,13,0,47970.0,0,0.0,0.0
2020-05-29,AK,432.0,10.0,14.0,5,0,49439.0,1,0.0,1.0
